name,originalName,pzn,description,category,image,url
DermoCapillaire Shampoo crema anti forfora,DermoCapillaire Anti-Schuppen Creme-Shampoo,9508102,"bekämpft trockene Schuppen wirksam und nachhaltig, mindert Juckreiz.",Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermocapillaire/69655-PS-DermoCapillaire-product-header-Anti_Dandruff_Creme_Shampoo-AT.png?mh=150&mw=81&rh=1&z=1,http://www2.eucerin.com/de/produkte/kopfhaut-und-haar/dermocapillaire-anti-schuppen-creme-shampoo
DermoCapillaire Shampoo gel anti forfora,DermoCapillaire Anti-Schuppen Gel-Shampoo,9508094,"bekämpft fettige Schuppen wirksam und nachhaltig, mindert Juckreiz.",Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermocapillaire/69654-PS-DermoCapillaire-product-header-Anti_dandruff_Gel_shampoo-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermocapillaire/anti-schuppen-gel-shampoo
DermoCapillaire Trattamento intensivo anti-forfora,DermoCapillaire Anti-Schuppen Intensiv-Tonikum,9508119,"verbleibt auf der Kopfhaut, bekämpft hartnäckige Schuppen schnell und wirksam, mindert Juckreiz.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermocapillaire/69656-PS-DermoCapillaire-product-header-Anti_Dandruff_Intensive_Treatment-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermocapillaire/anti-schuppen-intensiv-tonikum
DermoCapillaire Shampoo extratollerabilita',DermoCapillaire Hypertolerant Shampoo,9508088,"beruhigt hypersensible Kopfhaut und reinigt sie besonders schonend, mindert Juckreiz.",Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermocapillaire/69661-PS-DermoCapillaire-product-header-Hypertolerant_Shampoo-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermocapillaire/hypertolerant-shampoo
DermoCapillaire Shampoo lenitivo all'urea,DermoCapillaire Kopfhautberuhigendes Urea Shampoo,9508059,befreit die trockene Kopfhaut von Spannungsgefühlen und mindert Juckreiz.,Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermocapillaire/69657-PS-DermoCapillaire-product-header-Calming_Urea_Shampoo-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermocapillaire/kopfhautberuhigendes-urea-shampoo
DermoCapillaire Trattamento lenitivo all'urea,DermoCapillaire Kopfhautberuhigendes Urea-Tonikum,9508065,"beruhigt die trockene, irritierte Kopfhaut schnell und mindert den Juckreiz.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermocapillaire/69658-PS-DermoCapillaire-product-header-Calming_Urea_Treatment-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermocapillaire/kopfhautberuhigendes-urea-intensiv-tonikum
DermoCapillaire ph5 shampoo delicato,DermoCapillaire pH5 Shampoo,9508071,bewahrt die natürlichen Abwehrkräfte der empfindlichen Kopfhaut und befreit das Haar von Pollen und anderen Allergenen.,Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermocapillaire/69653-PS-DermoCapillaire-product-header-PH5_Mild_Shampoo-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermocapillaire/ph5-shampoo
DermoDENSIFYER Contorno occhi e labbra,Elasticity+Filler Gesichts-Öl,5980457,"stärkt die Hautstruktur und fördert die Durchblutung der empfindlichen Augenregion für einen frischen strahlenden Teint. Mindert Falten, schützt vor UV-bedingter Hautalterung.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-densifyer/63691-PS-DermoDENSIFYER-product-header-EyeLip-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/elasticity-filler/gesichts-oel
DermoDENSIFYER Crema notte,Elasticity+Filler Nachtpflege,5980440,"stärkt die Hautstruktur und fördert die Durchblutung für einen frischen strahlenden Teint. Mindert Falten, regeneriert über Nacht.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-densifyer/63587-PS-DermoDENSIFYER-product-header-Night-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/elasticity-filler/nachtpflege
DermoDENSIFYER Crema giorno,Elasticity+Filler Tagespflege,5980434,"stärkt die Hautstruktur und fördert die Durchblutung für einen frischen strahlenden Teint. Mindert Falten, schützt vor UV-bedingter Hautalterung.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-densifyer/63586-PS-DermoDENSIFYER-product-header-Day-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/elasticity-filler/tagespflege
DermoPURIFYER Cover-stick,DermoPurifyer Abdeckstift,2167922,"deckt Unreinheiten ab, reduziert Pickel nachweisbar und beruhigt.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-purifyer/63606-PS-DermoPURIFYER-product-header-cover-stick-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermo-purifyer/cover-stick
DermoPURIFYER Concentrato attivo,DermoPurifyer Aktiv Konzentrat,8760779,"öffnet verstopfte Poren, wirkt antibakteriell und hilft, neuen Hautunreinheiten vorzubeugen.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-purifyer/69607-PS-DermoPURIFYER-product-header-active-concentrate-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermo-purifyer/aktiv-konzentrat
DermoPURIFYER Trattamento notte attivo,DermoPurifyer Aktiv Nachtpflege,8760785,öffnet verstopfte Poren und verbessert das Hautbild sichtbar in drei Wochen.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-purifyer/69606-PS-DermoPURIFYER-product-header-active-night-care-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermo-purifyer/aktiv-nachtpflege
DermoPURIFYER Trattamento idratante giorno,DermoPurifyer Feuchtigkeitspflege,8760756,"Bekämpft effektiv Unreinheiten, mattiert und verfeinert das Hautbild sichtbar.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-purifyer/69604-PS-DermoPURIFYER-product-header-hydrating-care-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermo-purifyer/feuchtigkeitspflege
DermoPURIFYER Tonico,DermoPurifyer Gesichts-Tonic,2167276,Klärt die Haut und beugt Unreinheiten vor.,Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-purifyer/63581-PS-DermoPURIFYER-product-header-toner-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermo-purifyer/gesichts-tonic
DermoPURIFYER Detergente,DermoPurifyer Reinigungsgel,2167448,befreit die Haut effektiv und sanft von überschüssigem Talg.,Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-purifyer/63580-PS-DermoPURIFYER-product-header-cleanser-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermo-purifyer/reinigungsgel
DermoPURIFYER trattamento idratante intensivo fp 30,DermoPurifyer Therapiebegleitende Feuchtigkeitspflege LSF 30,8760762,"speziell für die durch Aknetherapeutika ausgetrocknete und irritierte Haut, schützt vor UV-Strahlung.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-purifyer/69605-PS-DermoPURIFYER-product-header-adjunctive-hydrating-care-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermo-purifyer/therapiebegleitende-feuchtigkeitspflege
DermoPURIFYER Scrub,DermoPurifyer Waschpeeling,2167649,"öffnet verstopfte Poren und reduziert Unreinheiten und Mitesser, verfeinert das Hautbild.",Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/dermo-purifyer/63636-PS-DermoPURIFYER-product-header-scrub-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/dermo-purifyer/waschpeeling
EVEN BRIGHTER Correttore depigmentante,Even Brighter Korrekturstift,9478312,"zur punktuellen Anwendung, lässt Pigmentflecken ab 4 Wochen nach und nach verblassen.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/even-brighter/69648-PS-EvenBrighter-product-header-SpotCorretor-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/even-brighter/korrekturstift
EVEN BRIGHTER Trattamento uniformante notte,Even Brighter Nachtpflege,9478298,lässt Pigmentflecken ab 4 Wochen nach und nach verblassen und regeneriert.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/even-brighter/69646-PS-EvenBrighter-product-header-Night-Cream-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/even-brighter/nachtpflege
EVEN BRIGHTER Siero concentrato uniformante,Even Brighter Pflege-Konzentrat,478306,lässt Pigmentflecken ab 4 Wochen nach und nach verblassen und verstärkt die Wirkung der Tages- und/oder Nachtpflege.,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/even-brighter/69647-PS-EvenBrighter-product-header-Concentrate-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/even-brighter/pflege-konzentrat
EVEN BRIGHTER Trattamento uniformante notte,Even Brighter Tagespflege,9478281,lässt Pigmentflecken ab 4 Wochen nach und nach verblassen und beugt der Entstehung neuer Pigmentflecken durch LSF 30 vor.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/even-brighter/69645-PS-EvenBrighter-product-header-Day-Cream-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/even-brighter/tagespflege
5percent urea crema rigenerante con carnitina,Hautglättende Creme 5% Urea mit Carnitin,8795513,"Zur täglichen lokalen Pflege (z. B. Ellenbogen und Knie), glättet und vermindert spürbar Rauigkeit.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/urea/63323PSUreaproductheaderSmoothingCreme5UreaAT.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/urea/hautglaettende-creme-5prozent-urea-mit-carnitin
5% urea crema viso Levigante,Hautglättende Gesichtscreme 5% Urea,8865811,"pflegt spürbar glatt und zart, spendet und bindet intensiv Feuchtigkeit.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/urea/63326PSUreaproductheaderSmoothingFaceCreme5UreaAT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/urea/hautglaettende-gesichtscreme-5prozent-urea
Hautglättende Gesichtscreme Nacht 5% Urea,Hautglättende Gesichtscreme Nacht 5% Urea,2483830,"pflegt spürbar glatt und zart, spendet und bindet intensiv Feuchtigkeit, regeneriert.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/urea/63567PSUreaproductheaderSmoothingNightFaceCreme5UreaAT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/urea/hautglaettende-nachtcreme-5prozent-urea
Hyal-Urea Contorno occhi,Hyal-Urea Anti-Falten Augencreme,5858615,pflegt sehr trockene Gesichtshaut spürbar glatt und zart und mildert gleichzeitig selbst ausgeprägte Falten.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyal-urea/63806-PS-Hyal-Urea-product-header-Eye-Cream-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/hyal-urea/augencreme
Hyal-Urea Crema notte,Hyal-Urea Anti-Falten Nachtcreme,5858590,"pflegt sehr trockene Gesichtshaut spürbar glatt und zart, mildert gleichzeitig selbst ausgeprägte Falten und regeneriert.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyal-urea/63804-PS-Hyal-Urea-product-header-Night-Cream-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/hyal-urea/nachtcreme
Hyal-Urea Crema giorno,Hyal-Urea Anti-Falten Tagescreme,5858584,"pflegt sehr trockene Gesichtshaut spürbar glatt und zart, mildert gleichzeitig selbst ausgeprägte Falten und schützt vor UVA-bedingter Hautalterung.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyal-urea/63801-PS-Hyal-Urea-product-header-Day-Cream-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/hyal-urea/tagescreme
Hyaluron-Filler Contorno Occhi,Hyaluron-Filler Augenpflege,1552397,Polstert die Haut um die Augen von innen heraus auf zur sichtbaren Milderung selbst tiefer Falten und schützt mit LSF 15 vor UV-bedingter Hautalterung.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyaluron-filler/63536-EUCERIN-INT-Hyaluron-Filler-product-header-Eye_Care.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/hyaluron-filler/augenpflege
Hyaluron-Filler Crema Notte,Hyaluron-Filler Nacht,4668723,"Polstert die Haut von innen heraus auf zur sichtbaren Milderung selbst tiefer Falten, regeneriert.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyaluron-filler/63486-EUCERIN-INT-Hyaluron-Filler-product-header-Night_Care.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/hyaluron-filler/nachtpflege
Hyaluron-Filler Concentrato,Hyaluron-Filler Serum-Konzentrat,1171175,verstärkt den faltenauffüllenden Effekt der Tages- und Nachtpflege.,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyaluron-filler/63908-PS-Hyaluron-Filler-product-header-Serum_Concentrate-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/hyaluron-filler/serum-konzentrat
Hyaluron-Filler (Crema) Giorno,Hyaluron-Filler Tagespflege,7608443,"extra leichte Tagespflege, polstert die Haut von innen heraus auf zur sichtbaren Milderung selbst tiefer Falten, schützt mit LSF 15 vor UV-bedingter Hautalterung.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyaluron-filler/63924-PS-Hyaluron-Filler-product-header-DayCream_normal_skin-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/hyaluron-filler/tagespflege-fuer-trockene-haut
Hyaluron-Filler (Crema) Giorno per pelle secca,Hyaluron-Filler Tagespflege für trockene Haut,7608420,"polstert die Haut von innen heraus, auf zur sichtbaren Milderung selbst tiefer Falten, schützt mit LSF 15 vor UV-bedingter Hautalterung.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyaluron-filler/63485-PS-Hyaluron-Filler-product-header-DayCream_dry_skin-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/hyaluron-filler/tagespflege-fuer-trockene-haut
Lipo-Balance,Lipo-Balance,7493023,reichhaltige Intensiv-Aufbaupflege schützt die Gesichtshaut lang anhaltend vor dem Austrocknen.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/lipo-balance/NEU-63407-PS-Lipo-Balance-product-header-intensive-nourishing-creme-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/lipo-balance/lipo-balance
ph5 Crema,pH5 Hautschutz Creme,8795878,aktiviert die natürlichen Abwehrkräfte der Haut und spendet Feuchtigkeit.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/sensitive-skin/63022-PS-Sensitive-Skin-product-header-pH5_Cream-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/empfindliche-haut/ph5-creme-
pH5 Hautschutz Creme F,pH5 Hautschutz Creme F,8795909,Zur täglichen Intensivpflege bei empfindlich trockener und Allergie-gestresster Haut. Besonders reichhaltig. Regeneriert intensiv und schützt vor dem Austrocknen.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/sensitive-skin/63032-PS-Sensitive-Skin-product-header-pH5_Cream_F-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/empfindliche-haut/ph5-creme-f
ph5 Gel doccia dermoprotettivo,pH5 Hautschutz Duschgel,2249956,bewahrt die natürlichen Abwehrkräfte der Haut.,Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/sensitive-skin/63133-PS-Sensitive-Skin-product-header-pH5_SoftShower-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/empfindliche-haut/ph5-duschgel
ph5 Olio doccia,pH5 Hautschutz Duschöl,8796168,"wirkt rückfettend, bewahrt die natürlichen Abwehrkräfte der Haut.",Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/sensitive-skin/63121-PS-Sensitive-Skin-product-header-pH5_ShowerOil-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/empfindliche-haut/ph5-duschoel
ph5 Emulsione corpo idratante,pH5 Hautschutz Lotion,8795743,"spendet langanhaltend Feuchtigkeit, reduziert das Eindringen von Pollen in die Haut und senkt die Allergenbelastung.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/sensitive-skin/63001-PS-Sensitive-Skin-product-header-pH5_200ml_Lotion-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/empfindliche-haut/ph5-lotion-
ph5 Emulsione corpo nutriente,pH5 Hautschutz Lotion F,8795803,"schützt vor dem Austrocknen, reduziert das Eindringen von Pollen in die Haut und senkt die Allergenbelastung.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/sensitive-skin/63011-PS-Sensitive-Skin-product-header-pH5_200ml_Lotion_F-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/empfindliche-haut/ph5-lotion-f
ph5 Detergente fluido,pH5 Hautschutz Waschlotion,8796004,bewahrt die natürlichen Abwehrkräfte der Haut.,Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/sensitive-skin/63071-PS-Sensitive-Skin-product-header-pH5_200ml_Washlotion-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/empfindliche-haut/ph5-waschlotion
pH5 Pflegesalbe,pH5 Pflegesalbe,8795944,"schützt und pflegt trockene, rissige und raue Haut. Auch bei berufsbedingten Belastungen der Haut und bei Umgang mit Chemikalien.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sensitive-skin/PS-pH5-Pflegesalbe-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/empfindliche-haut/ph5-pflegesalbe
Q10 ACTIVE Contorno occhi,Q10 Active Augenpflege,180976,"reduziert nachweisbar die Tiefe von Augenfältchen, wirkt der Bildung neuer Falten entgegen und schützt vor UV-bedingter Hautalterung.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/q10-active/63400-EUCERIN-INT-Q10_Active-product-header-eye_Care-PS.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/q10-active/augenpflege
Q10 ACTIVE Crema notte,Q10 Active Nacht,921421,"intensive Gesichtspflege, reduziert nachweisbar die Faltentiefe, wirkt der Bildung neuer Falten entgegen und regeneriert.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/q10-active/63416-PS-Q10-Active-product-header-Night-Care-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/q10-active/nachtpflege
